,product_name,product_url_image,product_price,product_stock,product_volume,product_weight
0,Bawang Bombay 1kg,https://storage.googleapis.com/indo-astro/Bawang_Bombay_1kg_240x240.png,26500,5,1000.0,1000
1,Bawang Merah Regular 250gr,https://storage.googleapis.com/indo-astro/Bawang_Merah_250gr_1650352019331_PRODUCT_240x240.png,16300,17,1296.0,250
2,Bawang Putih 250gr,https://storage.googleapis.com/indo-astro/Bawang_Putih_250gr_1650351889239_PRODUCT_240x240.png,10700,3,1296.0,250
3,Cabe Hijau Keriting 150gr,https://storage.googleapis.com/indo-astro/Cabe_Hijau_Keriting_150gr_1650352675232_PRODUCT_240x240.png,10900,1,1000.0,150
4,Cabe Hijau Rawit 150gr,https://storage.googleapis.com/indo-astro/Cabe_Hijau_Rawit_150gr_1650360747411_PRODUCT_240x240.png,15900,2,1000.0,150
5,Cengkeh 25gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Cengkeh_25gr_1655347539104_PRODUCT_240x240.png,7000,31,1000.0,50
6,Jahe Putih 200gr,https://storage.googleapis.com/indo-astro/Jahe_Putih_200gr_1650353418895_PRODUCT_240x240.png,5900,5,1000.0,200
7,Kunyit 250gr,https://storage.googleapis.com/indo-astro/Kunyit_250gr_1651216357503_PRODUCT_240x240.png,4500,3,360.0,200
8,Lengkuas 250gr,https://storage.googleapis.com/indo-astro/Lengkuas_250gr_240x240.png,5000,3,1000.0,250
9,Lada Hitam Utuh 50gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Lada_Hitam_50gr_1652756444294_PRODUCT_240x240.png,8100,15,1000.0,50
10,Lada Putih Utuh 100gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Lada_Putih_Utuh_100gr_1655345762802_PRODUCT_240x240.png,15000,5,1000.0,100
11,Daun Salam 25gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Daun_Salam_50gr_PRODUCT_240x240.png,2500,2,1000.0,25
12,Jinten 10gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Jinten_15gr_PRODUCT_1644219301577_240x240.png,2500,94,1000.0,10
13,Kapulaga 10gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Kapulaga_15gr_PRODUCT_1644219313601_240x240.png,8300,105,1000.0,10
14,Ketumbar Utuh 50gr,https://storage.googleapis.com/indo-astro/Ketumbar_Utuh_50gr_PRODUCT_1643611960571_240x240.png,3000,14,1000.0,50
15,Biji Pala 25gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Biji_Pala_25gr_PRODUCT_1644394842230_240x240.png,7000,16,1000.0,25
16,Bunga Lawang 25gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Bunga_Lawang_25gr_PRODUCT_1644394853821_240x240.png,8100,25,1000.0,25
17,Kayu Manis 50gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Kayumanis_25gr_PRODUCT_1644394864293_240x240.png,9200,12,1000.0,50
18,Kencur 100gr,https://storage.googleapis.com/indo-astro/Kencur_100gr_1656901216772_PRODUCT_240x240.png,5400,3,1000.0,100
19,Daun Jeruk 25gr,https://storage.googleapis.com/indo-astro/Astro_Spice_Daun_Jeruk_50gr_PRODUCT_240x240.png,3300,1,1000.0,25
20,Cabe Merah Besar 150gr,https://storage.googleapis.com/indo-astro/Cabe_Merah_Besar_150gr_1650351605987_PRODUCT_240x240.png,23300,4,1000.0,150
