product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Somethinc AHA BHA PHA Peeling Solution 20ml,https://storage.googleapis.com/indo-astro/Somethinc_AHA_BHA_PHA_Peeling_Solution_20ml_240x240.png,116700,,15,1000,20
Somethinc 5% Niacinamide + Moisture Sabi Beet Serum 20ml,https://storage.googleapis.com/indo-astro/Somethinc_5%_Niacinamide_+_Moisture_Sabi_Beet_Serum_20ml_240x240.png,89900,,7,1000,20
Somethinc Bakuchiol Skinpair Oil Serum Botol 20ml,https://storage.googleapis.com/indo-astro/Somethinc_Bakuchiol_Skinpair_Oil_Serum_Botol_20ml_240x240.png,89900,,9,1000,20
Somethinc Game Changer Tripeptide Eye Concentrate Gel Tube 20ml,https://storage.googleapis.com/indo-astro/Somethinc_Game_Changer_Tripeptide_Eye_Concentrate_Gel_Tube_20ml_240x240.png,146500,,13,1000,20
L'Oreal Paris White Perfect Whitening Moisturizing Toner 200ml,https://storage.googleapis.com/indo-astro/L'Oreal_Paris_White_Perfect_Whitening_Moisturizing_Toner_200ml_240x240.png,124400,,2,252,120
Vaseline Lip Care Pelembab & Pencerah Bibir Rosy Tinted 10gr,https://storage.googleapis.com/indo-astro/Vaseline_Lip_Care_Pelembab_&_Pencerah_Bibir_Rosy_Tinted_10g_1655192661244_PRODUCT_240x240.png,30000,,3,223.818,10
Emina Bright Stuff Face Toner 100ml,https://storage.googleapis.com/indo-astro/Emina_Bright_Stuff_Face_Toner_100ml_240x240.png,26300,,12,1000,100
Emina Lip Mask 9gr,https://storage.googleapis.com/indo-astro/Emina_Lip_Mask_9gr_240x240.png,38300,,9,1000,9
Emina Bright Stuff Face Serum 30ml,https://storage.googleapis.com/indo-astro/Emina_Bright_Stuff_Face_Serum_30ml_240x240.png,45800,,14,1000,30
COSRX Centella Water Alcohol-Free Toner 150ml,https://storage.googleapis.com/indo-astro/COSRX_Centella_Water_Alcohol-Free_Toner_150ml_240x240.png,182000,,6,1000,150
COSRX AHA/BHA Clarifying Treatment Toner 150ml,https://storage.googleapis.com/indo-astro/COSRX_AHA_BHA_Clarifying_Treatment_Toner_150ml_240x240.png,182000,,27,1000,150
Olay Total Effects 7in1 Night Cream 50gr,https://storage.googleapis.com/indo-astro/Olay_Total_Effects_7in1_Night_Cream_50gr_240x240.png,152500,,1,567,50
Olay Total Effects 7in1 Day Cream Gentle SPF 15 50gr,https://storage.googleapis.com/indo-astro/Olay_Total_Effects_7in1_Day_Cream_Gentle_SPF_15_50gr_240x240.png,157700,,1,330,50
NIVEA Lip Care Essential Care 4.8gr,https://storage.googleapis.com/indo-astro/NIVEA_Lip_Care_Essential_Care_4.8gr_1653291364429_PRODUCT_240x240.png,26900,,7,96,10
Aveeno Skin Relief Moisturizing Lotion 354ml,https://storage.googleapis.com/indo-astro/Aveeno_Skin_Relief_Moisturizing_Lotion_354ml_240x240.png,247500,,8,1000,354
Aveeno Daily Moisturizing Lotion 354ml,https://storage.googleapis.com/indo-astro/Aveeno_Daily_Moisturizing_Lotion_354ml_240x240.png,186900,,13,1000,354
NIVEA Body Lotion Extra White Instant Glow 200ml,https://storage.googleapis.com/indo-astro/NIVEA_Body_Lotion_Extra_White_Instant_Glow_200ml_240x240.png,30900,,35,432,220
NIVEA Body Lotion Intensive Moisture 400ml,https://storage.googleapis.com/indo-astro/NIVEA_Body_Lotion_Intensive_Moisture_400ml_240x240.png,53000,,20,1000,450
Vaseline Healthy Bright Gluta Hyaluron Niacinamide Serum Uv Lotion Flawless Bright 200ml,https://storage.googleapis.com/indo-astro/Vaseline_Healthy_Bright_Gluta_Hyaluron_Niacinamide_Serum_Uv_Lotion_Flawless_Bright_200ml_1655192418953_PRODUCT_240x240.png,52900,47400,7,726.8,200
Vaseline Lotion Intensive Care Aloe Soothe 200ml,https://storage.googleapis.com/indo-astro/Vaseline_Lotion_Intensive_Care_Aloe_Soothe_200ml_1655192399221_PRODUCT_240x240.png,32500,,4,34.65,200
Vaseline Lotion Healthy Bright Uv Extra Brigthening 200ml,https://storage.googleapis.com/indo-astro/Vaseline_Lotion_Healthy_Bright_Uv_Extra_Brigthening_200ml_1655192435162_PRODUCT_240x240.png,32400,,3,34.65,200
