product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
MYTEA +450ml,https://storage.googleapis.com/indo-astro/MYTEA_Plus_Oolong_450ml_PRODUCT_1646269168294_240x240.png,6400,,2,1000,450
Kopi Kenangan Avocuddle Hanya Untukmu 220ml,https://storage.googleapis.com/indo-astro/Kopi_Kenagan_Avocuddle_Hanya_Untukmu_220ml_PRODUCT_1645769256001_240x240.png,9600,,4,1000,220
Kopi Kenangan Black Aren Hanya Untukmu 220ml,https://storage.googleapis.com/indo-astro/Kopi_Kenangan_Black_Aren_Hanya_Untukmu_220ml_PRODUCT_1645769320897_240x240.png,9600,,1,1000,220
Kopi Kenangan Mantancino Hanya Untukmu 220ml,https://storage.googleapis.com/indo-astro/Kopi_Kenangan_Mantancino_Hanya_Untukmu_220ml_PRODUCT_1645769270145_240x240.png,9600,,5,1000,220
Pocari Sweat 2L,https://storage.googleapis.com/indo-astro/Pocari_Sweat_2L_PRODUCT_1645695317442_240x240.png,22300,,3,1000,2000
Diamond Jungle Juice Apple 1L,https://storage.googleapis.com/indo-astro/Diamond_Jungle_Juice_Apple_1L_PRODUCT_1645763849690_240x240.png,29300,,7,1000,1000
Diamond Jungle Juice Guava 1L,https://storage.googleapis.com/indo-astro/Diamond_Jungle_Juice_Guava_1L_PRODUCT_1645763594079_240x240.png,29300,,3,1000,100
Diamond Jungle Juice Orange 1L,https://storage.googleapis.com/indo-astro/Diamond_Jungle_Juice_Orange_1L_PRODUCT_1645763276384_240x240.png,29300,,10,1000,1000
Diamond Jungle Juice Apple 200ml,https://storage.googleapis.com/indo-astro/Diamond_Jungle_Juice_Apple_200ml_PRODUCT_1645765087816_240x240.png,7600,,3,1000,200
Diamond Jungle Juice Guava 200ml,https://storage.googleapis.com/indo-astro/Diamond_Jungle_Juice_Guava_200ml_PRODUCT_1645764781129_240x240.png,7600,,7,1000,200
Diamond Jungle Juice Orange 200ml,https://storage.googleapis.com/indo-astro/Diamond_Jungle_Juice_Orange_200ml_PRODUCT_1645764560732_240x240.png,7600,,6,1000,200
Sosro Fruit Tea Strawberry PET 500ml,https://storage.googleapis.com/indo-astro/Sosro_Fruit_Tea_Strawberry_PET_500ml_PRODUCT_1645762318379_240x240.png,6800,,4,1000,500
Sosro Fruit Tea Freeze PET 500ml,https://storage.googleapis.com/indo-astro/Sosro_Fruit_Tea_Freeze_PET_500ml_PRODUCT_1645762041898_240x240.png,6800,,3,1000,500
Sosro Fruit Tea Blackcurrant PET 500ml,https://storage.googleapis.com/indo-astro/Sosro_Fruit_Tea_Blackcurrant_PET_500ml_PRODUCT_1645761820791_240x240.png,6800,,3,1000,500
Sosro Fruit Tea Apel PET 500ml,https://storage.googleapis.com/indo-astro/Sosro_Fruit_Tea_Apel_PET_500ml_PRODUCT_1645761183512_240x240.png,6800,,4,1000,500
Teh Botol Sosro Kotak 1L,https://storage.googleapis.com/indo-astro/Sosro_Teh_Botol_Kotak_1L_PRODUCT_1645760754770_240x240.png,10100,,27,1000,1000
All Coco - Coconut Snowflake 150gr,https://storage.googleapis.com/indo-astro/All_Coco_-_Coconut_Snowflake_150gr_PRODUCT_1645505697517_240x240.png,35400,,10,1000,150
All Coco - Coconut Snowball 300gr,https://storage.googleapis.com/indo-astro/All_Coco_-_Coconut_Snowball_300gr_1647689951831_PRODUCT_240x240.png,50500,,2,1000,300
Snapple Juices Grape 473ml,https://storage.googleapis.com/indo-astro/Snapple_Juices_Grape_473ml_PRODUCT_1645059295986_240x240.png,42500,,4,1000,473
Snapple Juices Kiwi Strawberry  473ml,https://storage.googleapis.com/indo-astro/Snapple_Juices_Kiwi_Strawberry__473ml_PRODUCT_1645059253626_240x240.png,42500,,5,10000,473
Le Minerale - Galon 15L,https://storage.googleapis.com/indo-astro/Le_Minerale_-_Galon_15L_PRODUCT_1645059352614_240x240.png,20200,,4,1000,4990000
Buavita Jeruk Juice 1000ml,https://storage.googleapis.com/indo-astro/Buavita_Jeruk_Juice_1000ml_1658476687828_PRODUCT_240x240.png,31000,,6,1089,1000
CHAOH Unsweetened Green Tea With Matcha 450 ml,https://storage.googleapis.com/indo-astro/CHAOH_Unsweetened_Green_Tea_With_Matcha_450_ml_1658202531378_PRODUCT_240x240.png,7900,,2,605,450
A&W - 250ml Can,https://storage.googleapis.com/indo-astro/A&W_-_250ml_Can_1657966436137_PRODUCT_240x240.png,5900,5400,2,817419,250
