product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Kurma Ajwa Jumbo 500gr,https://storage.googleapis.com/indo-astro/Kurma_Ajwa_Jumbo_500gr_1647651275802_PRODUCT_240x240.png,90800,,27,1000,500
Kurma BAM 500gr,https://storage.googleapis.com/indo-astro/Kurma_BAM_500gr_1649393219997_PRODUCT_240x240.png,40300,,16,1000,500
Lemon Import 500gr,https://storage.googleapis.com/indo-astro/Lemon_Import_500gr_PRODUCT_1646536053251_240x240.png,29400,,4,4500,500
Semangka Merah 1 pcs,https://storage.googleapis.com/indo-astro/Semangka_Merah_1_pcs_240x240.png,55400,,4,3672,200
Anggur Red Globe 500gr,https://storage.googleapis.com/indo-astro/Anggur_Red_Globe_500gr_240x240.png,39900,,5,1400,500
Apel Envy NZ 1kg,https://storage.googleapis.com/indo-astro/Apel_Envy_NZ_1kg_240x240.png,93800,,2,4500,1000
Apel Fuji 1kg,https://storage.googleapis.com/indo-astro/Apel_Fuji_1kg_1650351718164_PRODUCT_240x240.png,57900,,6,4500,1000
Buah Naga Merah 1 pcs,https://storage.googleapis.com/indo-astro/Buah_Naga_Merah_1_pcs_1648001954961_PRODUCT_240x240.png,17900,,18,1000,200
Jambu Kristal Sunpride 1 Pack,https://storage.googleapis.com/indo-astro/Jambu_Kristal_Sunpride_500gr_240x240.png,17900,,5,308,500
Jeruk Medan 500gr,https://storage.googleapis.com/indo-astro/Jeruk_Medan_500gr_1650360950670_PRODUCT_240x240.png,23200,,3,1000,500
Lemon California 500gr,https://storage.googleapis.com/indo-astro/Lemon_California_Kuning_500gr_PRODUCT_1646536006519_240x240.png,11500,,8,4500,500
Nanas Honi Sunpride 1 Pcs,https://storage.googleapis.com/indo-astro/Nanas_Honi_Sunpride_1_pcs_1648575437799_PRODUCT_240x240.png,25100,,2,1600,500
Pepaya California Conventional 1 pcs,https://storage.googleapis.com/indo-astro/Pepaya_California_Conventional_1_pcs_240x240.png,19500,,9,1863,1300
Pir Xiang Lie 500gr,https://storage.googleapis.com/indo-astro/Pir_Xiang_Lie_500gr_1650363020850_PRODUCT_240x240.png,35800,,3,2000,500
Pisang Tanduk 2 pcs,https://storage.googleapis.com/indo-astro/Pisang_Tanduk_2_pcs_240x240.png,14300,,9,1000,200
Rock Melon Orange 1 pcs,https://storage.googleapis.com/indo-astro/Rock_Melon_Orange_1_pcs_240x240.png,44900,,1,2520,200
Astro Goods Strawberry Lokal Super 250gr,https://storage.googleapis.com/indo-astro/Strawberry_Lokal_Super_250gr_1657852861124_PRODUCT_240x240.png,25900,,17,1050,250
Jambu Kristal Sunpride 1kg,https://storage.googleapis.com/indo-astro/Jambu_Kristal_Sunpride_1kg_1659934500387_PRODUCT_240x240.png,25400,,1,1000,1000
Pear Golden RRC 1 pcs,https://storage.googleapis.com/indo-astro/Pear_Golden_RRC_1_pcs_1659058672820_PRODUCT_240x240.png,33500,,2,441,500
Anggur Premium Shine Muscat 500gr,https://storage.googleapis.com/indo-astro/Anggur_Premium_Shine_Muscat_500gr_1658465880561_PRODUCT_240x240.png,93800,,1,2000,500
Belimbing Dewi 1 Pack,https://storage.googleapis.com/indo-astro/Belimbing_Dewi_1kg_1658462637801_PRODUCT_240x240.png,23300,,2,3000,800
Salak Pondoh 1kg,https://storage.googleapis.com/indo-astro/Salak_Pondoh_1kg_1658462314763_PRODUCT_240x240.png,22500,,3,4500,1000
Semangka Inul Kuning 1 pcs,https://storage.googleapis.com/indo-astro/Semangka_Inul_Kuning_1_pcs_1658459918879_PRODUCT_240x240.png,38500,,1,5850,1500
Semangka Inul Merah 1 pcs,https://storage.googleapis.com/indo-astro/Semangka_Inul_Merah_1_pcs_1658462343423_PRODUCT_240x240.png,38500,,3,5850,1500
Jeruk Peras 1kg,https://storage.googleapis.com/indo-astro/Jeruk_Peras_1kg_1658459941430_PRODUCT_240x240.png,17200,,2,2700,1000
