product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Chitato Lite Sapi Panggang 68gr,https://storage.googleapis.com/indo-astro/Chitato_Lite_Sapi_Panggang_68gr_PRODUCT_1645614135495_240x240.png,9400,,3,1000,68
Happy-tos Tortilla Chips Nacho Cheese 140gr/Keripik Jagung,https://storage.googleapis.com/indo-astro/Happy-tos_Tortilla_Chips_Nacho_Cheese_140gr_Keripik_Jagung_1660101955953_PRODUCT_240x240.png,12500,,2,1960,140
Pringles Saucy BBQ 107gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Pringles_Saucy_BBQ_107gr_-_Chips_Keripik_Kentang_240x240.png,21900,,4,1078,120
Taro Seaweed 65gr,https://storage.googleapis.com/indo-astro/Taro_Seaweed_65gr_PRODUCT_1645193864881_240x240.png,8000,,13,1008,70
Chitato Lite Salmon Teriyaki 68gr,https://storage.googleapis.com/indo-astro/Chitato_Lite_Salmon_Teriyaki_68gr_PRODUCT_1645614244134_240x240.png,10100,,30,1000,68
Kusuka Barbeque Keripik Singkong 180gr,https://storage.googleapis.com/indo-astro/Barbeque_Kusuka_Keripik_Singkong_180gr_240x240.png,16500,,23,3381,200
Piattos Seaweed 75gr,https://storage.googleapis.com/indo-astro/Piattos_Seaweed_75gr_1649822883774_PRODUCT_240x240.png,9500,6300,29,1000,75
Chitato Sapi Panggang 68gr,https://storage.googleapis.com/indo-astro/Chitato_Sapi_Panggang_68gr_PRODUCT_1645613630213_240x240.png,9400,,27,1000,68
Japota Happy Honey Butter 68gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Japota_Happy_Honey_Butter_68gr_Keripik_Kentang_PRODUCT_1645164035944_240x240.png,10300,,6,1000,68
Maxicorn Tortilla Chips Barbeque 150gr/Keripik,https://storage.googleapis.com/indo-astro/Maxicorn_Tortilla_Chips_Barbeque_150g_Keripik_240x240.png,10400,,17,5000,150
Taro Potato Barbeque 65gr,https://storage.googleapis.com/indo-astro/Taro_Potato_Barbeque_65gr_PRODUCT_1645193401792_240x240.png,8000,,10,1008,70
Chitato Maxx Spicy Mexican Chili 55gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Chitato_Maxx_Spicy_Mexican_Chili_55gr_Keripik_Kentang_240x240.png,7600,,20,2160,70
Cheezels Cheezy BBQ 60gr,https://storage.googleapis.com/indo-astro/Cheezels_Cheezy_BBQ_60gr_240x240.png,32400,,3,600,70
Cheezels Cheezy Cheese 60gr,https://storage.googleapis.com/indo-astro/Cheezels_Cheezy_Cheese_60gr_240x240.png,32400,,5,600,70
Chitato Keju Supreme 68gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Chitato_Keju_Supreme_68gr_-_Potato_Chips_Keripik_Kentang_240x240.png,10000,,29,2016,68
Chitato Lite Nori Seaweed 120gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Chitato_Lite_Nori_Seaweed_120gr_-_Potato_Chips_Keripik_Kentang_240x240.png,14100,,18,1173,120
Happy-tos Tortilla Chips Corn Red 160gr/Keripik Jagung,https://storage.googleapis.com/indo-astro/Happy-Tos_Tortilla_Chips_Corn_Red_160gr_Keripik_Jagung_240x240.png,12700,,8,2090,60
Japota Umami Japanese Seaweed 68gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Japota_Umami_Japanese_Seaweed_68gr_-_Potato_Chips_Keripik_Kentang_240x240.png,10100,,1,1000,68
Kusuka Ayam Lada Hitam Keripik Singkong 60gr,https://storage.googleapis.com/indo-astro/Ayam_Lada_Hitam_Kusuka_Keripik_Singkong_60gr_240x240.png,6600,,7,1848,70
Maxicorn Nacho Cheese Tortilla Chips 150gr/Keripik,https://storage.googleapis.com/indo-astro/Maxicorn_Cheese_Tortilla_Chips_150g_Keripik_240x240.png,10400,,20,5000,150
Mr Hottest Maitos Tortilla Chips Jagung BBQ 140gr/Keripik Jagung,https://storage.googleapis.com/indo-astro/Mr_Hottest_Maitos_Tortilla_Chips_Jagung_BBQ_140gr_Keripik_Jagung_240x240.png,10400,,3,1960,140
Nongshim Onion Ring 50gr,https://storage.googleapis.com/indo-astro/Nongshim_Onion_Ring_50gr_240x240.png,16000,,5,918,50
Nongshim Sweet Potato Snack 55gr,https://storage.googleapis.com/indo-astro/Nongshim_Sweet_Potato_Snack_55gr_240x240.png,16000,,4,918,55
Oishi Rinbee Stik Keju 60gr,https://storage.googleapis.com/indo-astro/Oishi_Rinbee_Stik_Keju_70gr_240x240.png,6800,,2,2880,60
Kusuka Original Keripik Singkong 180gr,https://storage.googleapis.com/indo-astro/Original_Kusuka_Keripik_Singkong_180gr_240x240.png,16000,,10,6003,200
Potabee Potato Chips Salted Egg 68gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Potabee_Potato_Chips_Salted_Egg_68gr_-_Potato_Chips_Keripik_Kentang_240x240.png,9500,,30,1482,68
Pringles Cheese 107gr,https://storage.googleapis.com/indo-astro/Pringles_Cheese_107gr_-_Chips_Keripik_Kentang_240x240.png,21900,,5,1078,120
Qtela Balado 60gr/Keripik,https://storage.googleapis.com/indo-astro/Qtela_Balado_60gr_Cassava_Chips_Keripik_240x240.png,6600,,7,2688,60
Qtela Barbeque 185gr,https://storage.googleapis.com/indo-astro/Qtela_Barbeque_185gr_Cassava_Chips_Keripik__240x240.png,14100,,7,2688,185
Qtela Barbeque 60gr/Keripik,https://storage.googleapis.com/indo-astro/Qtela_Barbeque_60gr_Cassava_Chips_Keripik_240x240.png,6600,,7,2688,60
Kusuka Rumput Laut Keripik Singkong 60gr,https://storage.googleapis.com/indo-astro/Rumput_Laut_Kusuka_Keripik_Singkong_60gr_240x240.png,6600,,4,1848,70
TaoKaeNoi Big Sheet Classic 4gr/Rumput Laut ,https://storage.googleapis.com/indo-astro/TaoKaeNoi_Big_Sheet_Laut_Classic_4gr_Rumput_Laut__240x240.png,4400,,3,240,10
