,product_name,product_url_image,product_price,product_stock,product_volume,product_weight
0,Pakcoy Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Pakcoy_Hydroponic_200gr_1650422348548_PRODUCT_240x240.png,10800,2,1000.0,200
1,Amazing Farm Shake Salad Thai Shake 120gr,https://storage.googleapis.com/indo-astro/Amazing_Farm_Shake_Salad_Thai_Shake_120gr_240x240.png,26000,1,1000.0,120
2,Kale Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Kale_Hydroponic_200gr_1650421790408_PRODUCT_240x240.png,24500,1,264.0,200
3,Selada Romaine Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Selada_Romaine_Hydroponic_200gr_1650421957827_PRODUCT_240x240.png,12900,5,1000.0,200
4,Kailan Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Kailan_Hydroponic_200gr_1650421731364_PRODUCT_240x240.png,13900,2,1000.0,200
5,Baby Kailan Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Baby_Kailan_Hydroponic_200gr_240x240.png,14900,1,1000.0,200
6,Baby Bayam Merah Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Baby_Bayam_Merah_Hydroponic_200gr_PRODUCT_240x240.png,11800,1,1000.0,200
7,Baby Caisim Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Baby_Caisim_Hydroponic_200gr_PRODUCT_240x240.png,12300,6,1000.0,200
8,Baby Kangkung Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Baby_Kangkung_Hydroponic_200gr_PRODUCT_240x240.png,12300,6,1000.0,200
9,Baby Pakcoy Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Baby_Pakcoy_Hydroponic_200gr_PRODUCT_240x240.png,14000,7,1000.0,200
10,Selada keriting Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Selada_keriting_Hydroponic_200gr_1650422131020_PRODUCT_240x240.png,11800,4,1000.0,200
11,Bayam Merah Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Bayam_Merah_Hydroponic_200gr_1650421481880_PRODUCT_240x240.png,10600,4,1000.0,200
12,Bayam Hijau Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Bayam_Hijau_Hydroponic_200gr_1650421512119_PRODUCT_240x240.png,10600,4,1000.0,200
13,Kangkung Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Kangkung_Hydroponic_200gr_1650421866214_PRODUCT_240x240.png,10300,3,1000.0,200
14,Caisim Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Caisim_Hydroponic_200gr_1650422195091_PRODUCT_240x240.png,10900,4,1000.0,200
15,Amazing Farm Tauge Organik 200gr,https://storage.googleapis.com/indo-astro/Amazing_Farm_Tauge_Organik_200gr_240x240.png,9400,1,1000.0,200
16,Amazing Farm Shake Salad Newyorker 120gr,https://storage.googleapis.com/indo-astro/Amazing_Farm_Shake_Salad_Newyorker_120gr_240x240.png,26000,0,432.0,120
17,Amazing Farm Sweet Baby Mix Salad To Go 150gr,https://storage.googleapis.com/indo-astro/Amazing_Farm_Sweet_Baby_Mix_Salad_To_Go_150gr_240x240.png,21000,0,1000.0,150
18,Amazing Farm Class Romaine Salad To Go 150gr,https://storage.googleapis.com/indo-astro/Amazing_Farm_Class_Romaine_Salad_To_Go_150gr_240x240.png,21000,0,1000.0,150
19,Amazing Farm American Mix Salad To Go 150gr,https://storage.googleapis.com/indo-astro/Amazing_Farm_American_Mix_Salad_To_Go_150gr_240x240.png,21000,0,1000.0,150
20,Baby Bayam Merah Hidroponik 200gr,https://storage.googleapis.com/indo-astro/Baby_Bayam_Merah_Hidroponik_200gr_240x240.png,12800,0,1600.0,200
21,Amazing Farm Baby Cos 250gr,https://storage.googleapis.com/indo-astro/Amazing_Farm_Baby_Cos_250gr_1659585982102_PRODUCT_240x240.png,24300,0,2250.0,250
22,Buy 1 Highland 50/50 Mesclun & Spinach 100gr + Dressing free 1 Mesclun 100gr,https://storage.googleapis.com/indo-astro/Buy_1_Highland_50_50_Mesclun_&_Spinach_100gr_+_Dressing_free_1_Mesclun_100gr_PRODUCT_240x240.png,39900,0,1000.0,200
23,Baby Bayam Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Baby_Bayam_Hydroponic_200gr_PRODUCT_240x240.png,12400,0,1000.0,200
24,Siomak Hydroponic 200gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Siomak_Hydroponic_200gr_240x240.png,13100,0,1000.0,200
