,product_name,product_url_image,product_price,product_stock,product_volume,product_weight
0,Kurma Ajwa Jumbo 500gr,https://storage.googleapis.com/indo-astro/Kurma_Ajwa_Jumbo_500gr_1647651275802_PRODUCT_240x240.png,90800,27,1000.0,500
1,Kurma BAM 500gr,https://storage.googleapis.com/indo-astro/Kurma_BAM_500gr_1649393219997_PRODUCT_240x240.png,40300,16,1000.0,500
2,Pisang Cavendish Conventional 500gr,https://storage.googleapis.com/indo-astro/Pisang_Cavendish_Conventional_500gr_1657853345927_PRODUCT_240x240.png,11500,29,322.0,500
3,Alpukat Mentega Regular 1kg,https://storage.googleapis.com/indo-astro/Alpukat_Mentega_Super_1kg_240x240.png,39500,1,1000.0,1000
4,Lemon Import 500gr,https://storage.googleapis.com/indo-astro/Lemon_Import_500gr_PRODUCT_1646536053251_240x240.png,29400,4,4500.0,500
5,Semangka Merah 1 pcs,https://storage.googleapis.com/indo-astro/Semangka_Merah_1_pcs_240x240.png,55400,3,3672.0,200
6,Anggur Red Globe 500gr,https://storage.googleapis.com/indo-astro/Anggur_Red_Globe_500gr_240x240.png,39900,7,1400.0,500
7,Apel Fuji 1kg,https://storage.googleapis.com/indo-astro/Apel_Fuji_1kg_1650351718164_PRODUCT_240x240.png,57900,6,4500.0,1000
8,Buah Naga Merah 1 pcs,https://storage.googleapis.com/indo-astro/Buah_Naga_Merah_1_pcs_1648001954961_PRODUCT_240x240.png,17900,19,1000.0,200
9,Jambu Kristal Sunpride 1 Pack,https://storage.googleapis.com/indo-astro/Jambu_Kristal_Sunpride_500gr_240x240.png,17900,2,308.0,500
10,Jeruk Mandarin Wokam 750gr,https://storage.googleapis.com/indo-astro/Jeruk_Mandarin_Wokam_750gr_1650361078025_PRODUCT_240x240.png,47900,1,1200.0,800
11,Jeruk Medan 500gr,https://storage.googleapis.com/indo-astro/Jeruk_Medan_500gr_1650360950670_PRODUCT_240x240.png,23200,3,1000.0,500
12,Jeruk Nipis 250gr,https://storage.googleapis.com/indo-astro/Jeruk_Nipis_250gr_1650360975065_PRODUCT_240x240.png,5900,2,1000.0,250
13,Lemon California 500gr,https://storage.googleapis.com/indo-astro/Lemon_California_Kuning_500gr_PRODUCT_1646536006519_240x240.png,11500,9,4500.0,500
14,Pepaya California Conventional 1 pcs,https://storage.googleapis.com/indo-astro/Pepaya_California_Conventional_1_pcs_240x240.png,19500,5,1863.0,1300
15,Pir Xiang Lie 500gr,https://storage.googleapis.com/indo-astro/Pir_Xiang_Lie_500gr_1650363020850_PRODUCT_240x240.png,35800,3,2000.0,500
16,Pisang Tanduk 2 pcs,https://storage.googleapis.com/indo-astro/Pisang_Tanduk_2_pcs_240x240.png,14300,3,1000.0,200
17,Astro Goods Strawberry Lokal Super 250gr,https://storage.googleapis.com/indo-astro/Strawberry_Lokal_Super_250gr_1657852861124_PRODUCT_240x240.png,25900,17,1050.0,250
18,Jambu Kristal Sunpride 1kg,https://storage.googleapis.com/indo-astro/Jambu_Kristal_Sunpride_1kg_1659934500387_PRODUCT_240x240.png,25400,1,1000.0,1000
19,Anggur Black Magic Mesir 1 Pack,https://storage.googleapis.com/indo-astro/Anggur_Black_Magic_Mesir_1_Pack_1659058530194_PRODUCT_240x240.png,62500,1,2112.0,500
20,Buah Delima Peru 1 pcs,https://storage.googleapis.com/indo-astro/Buah_Delima_Peru_1_pcs_1658469286327_PRODUCT_240x240.png,61700,2,1200.0,200
21,Anggur Premium Shine Muscat 500gr,https://storage.googleapis.com/indo-astro/Anggur_Premium_Shine_Muscat_500gr_1658465880561_PRODUCT_240x240.png,93800,7,2000.0,500
22,Belimbing Dewi 1 Pack,https://storage.googleapis.com/indo-astro/Belimbing_Dewi_1kg_1658462637801_PRODUCT_240x240.png,17800,1,3000.0,800
23,Salak Pondoh 1kg,https://storage.googleapis.com/indo-astro/Salak_Pondoh_1kg_1658462314763_PRODUCT_240x240.png,22500,3,4500.0,1000
24,Semangka Inul Kuning 1 pcs,https://storage.googleapis.com/indo-astro/Semangka_Inul_Kuning_1_pcs_1658459918879_PRODUCT_240x240.png,38500,1,5850.0,1500
25,Semangka Inul Merah 1 pcs,https://storage.googleapis.com/indo-astro/Semangka_Inul_Merah_1_pcs_1658462343423_PRODUCT_240x240.png,38500,1,5850.0,1500
26,Jeruk Peras 1kg,https://storage.googleapis.com/indo-astro/Jeruk_Peras_1kg_1658459941430_PRODUCT_240x240.png,17200,2,2700.0,1000
27,Buah Ciplukan 1 Pack,https://storage.googleapis.com/indo-astro/Buah_Ciplukan_1_Pack_1658466193023_PRODUCT_240x240.png,24200,3,840.0,110
28,Strawberry Baby Fresh 1 Pack,https://storage.googleapis.com/indo-astro/Strawberry_Baby_Fresh_1_Pack_1658466402741_PRODUCT_240x240.png,11400,1,780.0,120
29,Pepaya California Jumbo 1 pcs,https://storage.googleapis.com/indo-astro/Pepaya_California_1_pcs_240x240.png,21900,8,1000.0,1900
30,Kiwi Hijau 1 Pack,https://storage.googleapis.com/indo-astro/Kiwi_Hijau_1_Pack_1657515800784_PRODUCT_240x240.png,43800,1,252.0,270
31,Jeruk Pamelo 1 Pcs,https://storage.googleapis.com/indo-astro/Jeruk_Pamelo_1_Pcs_1657516838936_PRODUCT_240x240.png,64700,2,1500.0,1300
32,Pisang Nana Barangan Premium 1 Pack ,https://storage.googleapis.com/indo-astro/Pisang_Nana_Barangan_Premium_1_Pack__1657852373777_PRODUCT_240x240.png,10500,1,300.0,500
