,modelId,name,normalPriceLabel,minResellerPriceLabel,maxResellerPriceLabel,customerPrice,brandName,profileImageUrl
0,100000070548,OGMart - SEGO JAGUNG / NASI JAGUNG BERAS KAYA MANFAAT,Rp.21.000,Rp.18.952,Rp.18.952,19950,OGMart,https://assets.evermos.com/public/small/q:100/evermos-production/product/model/ca78dd9c-b68f-4a5a-bf41-e03fa3213b92
1,100000097919,Beras Shorgum,Rp.21.000,Rp.18.900,Rp.18.900,21000,Hidup Mapan,https://assets.evermos.com/public/small/q:100/evermos-production/brand/hidup-mapan/product/image/62da2314758e2.jpg
2,100000070549,OGMart - SEGO SINGKONG / BERAS SINGKONG BERAS KAYA MANFAAT,Rp.22.000,Rp.19.855,Rp.19.855,20900,OGMart,https://assets.evermos.com/public/small/q:100/evermos-production/product/model/bde72471-f9d4-4cec-a108-9fcfd4b409e6
3,100000055790,Ellos Mart - Beras Hsc 10kg Beras Medium,Rp.110.000,Rp.110.000,Rp.110.000,110000,ELLOS MART,https://assets.evermos.com/public/small/q:100/evermos-production/brand/ellos-mart/product/image/61c02b38054b3.jpg
4,100000053500,Klimax Shop - Beras Rojolele 5Kg,Rp.62.000,Rp.62.000,Rp.62.000,62000,KliMAX SHOP,https://assets.evermos.com/public/small/q:100/evermos-production/brand/klimax-shop/product/image/619b58760d1ba.jpg
5,100000051767,Toko Wijaya - Beras TH 55 Putih 25 Kg,Rp.314.710,Rp.314.710,Rp.314.710,314710,TOKO WIJAYA,https://assets.evermos.com/public/small/q:100/evermos-production/brand/toko-wijaya/product/image/618232e7eeb0d.jpg
6,100000051766,Toko Wijaya - Beras TH 55 Putih 10 Kg,Rp.127.060,Rp.127.060,Rp.127.060,127060,TOKO WIJAYA,https://assets.evermos.com/public/small/q:100/evermos-production/brand/toko-wijaya/product/image/6182328ff03b2.jpg
7,100000051765,Toko Wijaya - Beras TH 55 Putih 5 Kg,Rp.64.710,Rp.64.710,Rp.64.710,64710,TOKO WIJAYA,https://assets.evermos.com/public/small/q:100/evermos-production/brand/toko-wijaya/product/image/61823259a0930.jpg
8,100000051764,Toko Wijaya - Beras TH 88 Putih 25 Kg,Rp.300.000,Rp.300.000,Rp.300.000,300000,TOKO WIJAYA,https://assets.evermos.com/public/small/q:100/evermos-production/brand/toko-wijaya/product/image/6182322b04183.jpg
9,100000051763,Toko Wijaya - Beras TH 88 Putih 10 Kg,Rp.121.180,Rp.121.180,Rp.121.180,121180,TOKO WIJAYA,https://assets.evermos.com/public/small/q:100/evermos-production/brand/toko-wijaya/product/image/618231f73ae4c.jpg
10,100000051762,Toko Wijaya - Beras TH 88 Putih 5 Kg,Rp.62.360,Rp.62.360,Rp.62.360,62360,TOKO WIJAYA,https://assets.evermos.com/public/small/q:100/evermos-production/brand/toko-wijaya/product/image/618231df4ac57.jpg
11,100000051477,Al Mumtazza - Nasi Goreng Mesir 350 gr,Rp.55.000,Rp.52.250,Rp.52.250,55000,Al Mumtazza,https://assets.evermos.com/public/small/q:100/evermos-production/brand/al-mumtazza/product/image/617b98f29a18c.jpg
12,100000051475,Al Mumtazza - Nasi Kabsah 350 gr,Rp.55.000,Rp.52.250,Rp.52.250,55000,Al Mumtazza,https://assets.evermos.com/public/small/q:100/evermos-production/brand/al-mumtazza/product/image/617b98bd7e8fe.jpg
13,100000051473,Al Mumtazza - Nasi Goreng Kambing 350 gr,Rp.55.000,Rp.52.250,Rp.52.250,55000,Al Mumtazza,https://assets.evermos.com/public/small/q:100/evermos-production/brand/al-mumtazza/product/image/617b986bc6424.jpg
14,100000051471,Al Mumtazza - Nasi Bukhori 175 gr,Rp.35.000,Rp.33.250,Rp.33.250,35000,Al Mumtazza,https://assets.evermos.com/public/small/q:100/evermos-production/brand/al-mumtazza/product/image/617b985648031.jpg
15,100000051470,Al Mumtazza - Nasi Goreng Mesir 175 gr,Rp.35.000,Rp.33.250,Rp.33.250,35000,Al Mumtazza,https://assets.evermos.com/public/small/q:100/evermos-production/brand/al-mumtazza/product/image/617b97e33f1c7.jpg
16,100000051468,Al Mumtazza - Nasi Kabsah 175 gr,Rp.35.000,Rp.33.250,Rp.33.250,35000,Al Mumtazza,https://assets.evermos.com/public/small/q:100/evermos-production/brand/al-mumtazza/product/image/617b97d221ed5.jpg
17,100000051466,Al Mumtazza - Nasi Goreng Kambing 175 gr,Rp.35.000,Rp.33.250,Rp.33.250,35000,Al Mumtazza,https://assets.evermos.com/public/small/q:100/evermos-production/brand/al-mumtazza/product/image/617b9779b3e1b.jpg
18,100000051464,Al Mumtazza - Nasi Goreng Mesir 90 gr,Rp.25.000,Rp.23.750,Rp.23.750,25000,Al Mumtazza,https://assets.evermos.com/public/small/q:100/evermos-production/brand/al-mumtazza/product/image/617b96de5175f.jpg
19,100000051462,Al Mumtazza - Nasi Kabsah 90 gr,Rp.25.000,Rp.23.750,Rp.23.750,25000,Al Mumtazza,https://assets.evermos.com/public/small/q:100/evermos-production/brand/al-mumtazza/product/image/617b96bd7fd55.jpg
20,100000047751,Mantradhi - Beras Ratu Ayu 5kg,Rp.56.456,Rp.56.456,Rp.56.456,56456,Mantradhi,https://assets.evermos.com/public/small/q:100/evermos-production/product/model/5fef1949-7473-4f15-9c6c-2a0a6ac3653d
21,100000023139,Group Tani Bandung - Sumedang Beras Hitam Organik,Rp.52.000,Rp.50.440,Rp.50.440,52000,Group Tani Bandung - Sumedang,https://assets.evermos.com/public/small/q:100/evermos-production/brand/group-tani-bandung-sumedang/product/image/5f9138e9d5a68.jpg
22,100000023098,Group Tani Bandung - Sumedang Beras Putih Organik,Rp.42.800,Rp.41.516,Rp.41.516,42800,Group Tani Bandung - Sumedang,https://assets.evermos.com/public/small/q:100/evermos-production/brand/group-tani-bandung-sumedang/product/image/5f9109d2654a2.jpg
23,100000019662,Asagri Beras Coklat Organik,Rp.34.000,Rp.28.560,Rp.28.560,34000,Asagri,https://assets.evermos.com/public/small/q:100/evermos-production/brand/asagri/product/image/5f4797018e7a3.jpg
24,100000019660,Asagri Beras Menthik Susu Organik,Rp.28.000,Rp.24.920,Rp.24.920,28000,Asagri,https://assets.evermos.com/public/small/q:100/evermos-production/brand/asagri/product/image/5f47968a6c789.jpg
25,100000019659,Asagri Beras IR64 Organik,Rp.23.000,Rp.20.240,Rp.20.240,23000,Asagri,https://assets.evermos.com/public/small/q:100/evermos-production/brand/asagri/product/image/5f47965ac0680.jpg
26,100000019658,Asagri Beras Pandan Wangi,Rp.25.000,Rp.22.750,Rp.22.750,25000,Asagri,https://assets.evermos.com/public/small/q:100/evermos-production/brand/asagri/product/image/5f47962a0cd4d.jpg
27,100000019657,Asagri Beras Super Premium 5 kg,Rp.70.000,Rp.63.000,Rp.63.000,70000,Asagri,https://assets.evermos.com/public/small/q:100/evermos-production/brand/asagri/product/image/5f4795e737090.jpg
