,Goods_name,brand,price
0,KONEKTOR RJ45 / RJ 45,Tidak Ada Merek,180.0
1,100 x 150 Thermal Label Barcode 100x150 Direct isi 250 pcs ukuran A6,Tidak Ada Merek,31065.0
2,AKRILIK lembaran 2mm A5 / Akrilik bening / Marga cipta / Acrylic / Akrilik 2mm A5,,5500.0
3,Tambahan kabel perpanjangan antena,falcom,4000.0
4,COVER CHARGER SILICONE POWER PROTECTOR MAGSAFE MACBOOK NEW AIR PRO M1 11 12 13 15 16 CASE,Apple,51150.0
5,Huion H640P Graphic Drawing Pen Tablet For OSU Game,,405000.0
6,MACBOOK Case Clear TRANSPARAN Bening NEW AIR PRO RETINA 11 12 13 14 15 16 INCH NON /  WITH CD ROOM / TOUCHBAR / TOUCH ID / M1 2020 2021 2022,Apple,80000.0
7,HEATSINK PENDINGIN TO-220 TRANSISTOR MOSFET IC REGULATOR 15x11x20MM ALUMUNIUM,Tidak Ada Merek,850.0
8,PELINDUNG PENUTUP WEBCAM KAMERA COVER CAMERA DEPAN LAPTOP HP ASUS DELL SAMSUNG,Tidak Ada Merek,5000.0
9,STICKER KERTAS PERIPAGE PAPERANG IMPOR EDC panda kertas thermal peripage Sticker paper,Tidak Ada Merek,9000.0
10,Mouse pad Gaming ROBOT RP01 / MP01  Mousepad Anti-skid e-Sports Series  - Garansi Resmi 1 Tahun,Robot,8000.0
11,Seagate One Touch HDD - Hardisk Eksternal 1TB +  Pouch ( Pengganti Seagate Backup Plus ),Seagate,760000.0
12,Switch OUTEMU - Red Brown Blue Black Purple Mechanical Keyboard,Tidak Ada Merek,3000.0
13,(SERUNI) Mouse Pad Robot MP01 Robot Mousepad,Robot,7000.0
14,Mouse Wireless Robot M210 2.4G Optical USB Mouse Gaming 1600DPI Pink - Garansi Resmi 1 Tahun,Robot,54000.0
15,Seagate One Touch HDD - Hardisk Eksternal 2TB - ( Pengganti Seagate Backup Plus ),Seagate,1085000.0
16,Flashdisk Sandisk Blade (CZ50) 16GB USB 2.0,,45750.0
17,"OUTEMU Mechanical Switch SMD RGB - BLUE, RED, BROWN, BLACK, TEAL & PURPLE",Tidak Ada Merek,3000.0
18,Seagate New Expansion Harddisk Eksternal 1TB - Hitam,Seagate,735000.0
19,HEATSINK PLASTER STAR 922 UNIVERSAL HPL LED THERMAL GLUE,Tidak Ada Merek,7500.0
20,LOEWIX Adaptor 12V 1A,Loewix,13000.0
21,OKAY DIGIT kertas thermal struk printer kasir ppob 58x40 mm premium hitam warna jelas,,3250.0
22,"Milar 10 nf, 47nf, 100nf",,100.0
23,"WD New My Passport 1TB - HDD / HD / Hardisk / Harddisk External 2.5""",Western Digital,760000.0
24,PP Shell GT Pro Tempat CD / DVD Case CD Oval Bulat Kerang,GT-Pro,2350.0
25,Transfer Paper 3G Jet Opaque A4 Dark USA Untuk semua bahan kaos ( Minimal Order 10 Lembar ),Tidak Ada Merek,11000.0
26,Huruf Timbul Stainless 3 Dimensi Full Stainles.,,3000.0
27,Tinta Epson EcoTank 003 Original Cyan Magenta Yellow Black Refill Botol Ink Printer L1210 L1250 L1256 L3210 L3216 L3250 L3256 L5290 L5296 L1110 L3110 L3150 L5190 Black Color Ori 100% Resmi,Epson,75000.0
28,RDP SPEK 2 Core Ram 4GB,,45000.0
29,SSD 120GB-Solid State Drive Midasforce 120GB SUPER LIGHTNING SATA III-6GB/S,,172000.0
30,Lampu Proyektor Dengan Speaker Langit Malam Bintang 2in1 Galaxy Nebula Lamp Starry Projector Light Lampu Tidur,Tidak Ada Merek,36000.0
31,"Logitech B175 Mouse Wireless untuk Windows, Mac, Linux dan ChromeOS",Logitech,105000.0
32,"RDP Windows & VPS LINUX Garansi 30 Hari, Private, Full Akses, Full Speed",,43000.0
33,Flashdisk SanDisk 16GB USB 2.0 Cruzer Blade CZ50 - Garansi Resmi 5 Tahun,Sandisk,51500.0
34,Logitech M330 Mouse Wireless Silent Click,Logitech,159000.0
35,PATCH CORD / PATCHCORD FIBER OPTIC SC UPC 3M ( SC SC ),,9000.0
