Goods_name,brand,price,sold
KONEKTOR RJ45 / RJ 45,Tidak Ada Merek,180,842
100 x 150 Thermal Label Barcode 100x150 Direct isi 250 pcs ukuran A6,Tidak Ada Merek,31065,1966
AKRILIK lembaran 2mm A5 / Akrilik bening / Marga cipta / Acrylic / Akrilik 2mm A5,,5500,7112
Tambahan kabel perpanjangan antena,falcom,4000,581
COVER CHARGER SILICONE POWER PROTECTOR MAGSAFE MACBOOK NEW AIR PRO M1 11 12 13 15 16 CASE,Apple,51150,566
Huion H640P Graphic Drawing Pen Tablet For OSU Game,,405000,282
MACBOOK Case Clear TRANSPARAN Bening NEW AIR PRO RETINA 11 12 13 14 15 16 INCH NON /  WITH CD ROOM / TOUCHBAR / TOUCH ID / M1 2020 2021 2022,Apple,80000,1143
HEATSINK PENDINGIN TO-220 TRANSISTOR MOSFET IC REGULATOR 15x11x20MM ALUMUNIUM,Tidak Ada Merek,850,405
PELINDUNG PENUTUP WEBCAM KAMERA COVER CAMERA DEPAN LAPTOP HP ASUS DELL SAMSUNG,Tidak Ada Merek,5000,543
STICKER KERTAS PERIPAGE PAPERANG IMPOR EDC panda kertas thermal peripage Sticker paper,Tidak Ada Merek,9000,90
Mouse pad Gaming ROBOT RP01 / MP01  Mousepad Anti-skid e-Sports Series  - Garansi Resmi 1 Tahun,Robot,8000,288
Seagate One Touch HDD - Hardisk Eksternal 1TB +  Pouch ( Pengganti Seagate Backup Plus ),Seagate,760000,811
Switch OUTEMU - Red Brown Blue Black Purple Mechanical Keyboard,Tidak Ada Merek,3000,470
(SERUNI) Mouse Pad Robot MP01 Robot Mousepad,Robot,7000,403
Mouse Wireless Robot M210 2.4G Optical USB Mouse Gaming 1600DPI Pink - Garansi Resmi 1 Tahun,Robot,54000,560
Seagate One Touch HDD - Hardisk Eksternal 2TB - ( Pengganti Seagate Backup Plus ),Seagate,1085000,314
Flashdisk Sandisk Blade (CZ50) 16GB USB 2.0,,45750,6369
"OUTEMU Mechanical Switch SMD RGB - BLUE, RED, BROWN, BLACK, TEAL & PURPLE",Tidak Ada Merek,3000,944
Seagate New Expansion Harddisk Eksternal 1TB - Hitam,Seagate,735000,211
HEATSINK PLASTER STAR 922 UNIVERSAL HPL LED THERMAL GLUE,Tidak Ada Merek,7500,218
LOEWIX Adaptor 12V 1A,Loewix,13000,163
OKAY DIGIT kertas thermal struk printer kasir ppob 58x40 mm premium hitam warna jelas,,3250,4707
"Milar 10 nf, 47nf, 100nf",,100,334
"WD New My Passport 1TB - HDD / HD / Hardisk / Harddisk External 2.5""",Western Digital,760000,277
PP Shell GT Pro Tempat CD / DVD Case CD Oval Bulat Kerang,GT-Pro,2350,3136
Transfer Paper 3G Jet Opaque A4 Dark USA Untuk semua bahan kaos ( Minimal Order 10 Lembar ),Tidak Ada Merek,11000,73
Huruf Timbul Stainless 3 Dimensi Full Stainles.,,3000,14168
Tinta Epson EcoTank 003 Original Cyan Magenta Yellow Black Refill Botol Ink Printer L1210 L1250 L1256 L3210 L3216 L3250 L3256 L5290 L5296 L1110 L3110 L3150 L5190 Black Color Ori 100% Resmi,Epson,75000,1038
RDP SPEK 2 Core Ram 4GB,,45000,43
SSD 120GB-Solid State Drive Midasforce 120GB SUPER LIGHTNING SATA III-6GB/S,,172000,238
Lampu Proyektor Dengan Speaker Langit Malam Bintang 2in1 Galaxy Nebula Lamp Starry Projector Light Lampu Tidur,Tidak Ada Merek,36000,98
"Logitech B175 Mouse Wireless untuk Windows, Mac, Linux dan ChromeOS",Logitech,105000,3874
"RDP Windows & VPS LINUX Garansi 30 Hari, Private, Full Akses, Full Speed",,43000,126
Flashdisk SanDisk 16GB USB 2.0 Cruzer Blade CZ50 - Garansi Resmi 5 Tahun,Sandisk,51500,2233
Logitech M330 Mouse Wireless Silent Click,Logitech,159000,2513
PATCH CORD / PATCHCORD FIBER OPTIC SC UPC 3M ( SC SC ),,9000,4342
TP-LINK TL-WR840N 300Mbps Wireless N Router Best seller 300Mbps Wireless N Speed WiFi Internet Rumah,TP-Link,168000,211
HP Tinta Ink Cartridge Black 680 - F6V27AA,0,130600,77
Mousepad Anti Slip ROBOT RP01 Gaming Polos Hitam Murah Rubber Original - Garansi Resmi 1 Tahun,ROBOT,9900,985
SanDisk CZ50 Cruzer Blade (16 GB),Sandisk,49900,3472
Sepasang HTB-3100 Fiber Optic Media Konverter Single Mode dengan 5V 2A EU Adaptor,,109000,3208
Flashdisk SanDisk 32GB USB 2.0 Cruzer Blade CZ50 - Garansi Resmi 5 Tahun,Sandisk,55500,3540
__upport POE_2F4E 10/100M Ethernet Switch PCBA Board 5V-12V power input,,155999,490
Knee karet bolong import /sleeve rubber 4mm untuk tabung infus printer,Tidak Ada Merek,228,160
Sandisk FlashDisk 16GB - Sandisk Flash Disk 16 GB - Sandisk USB Drive 16g USB 2.0  original,Sandisk,49000,1110
Spuid 10cc Jarum Refill Tinta Cartridge Syringe 10 cc Suntikan 10 ml Isi Ulang Plus Jarum,Tidak Ada Merek,1700,161
PROMO EXLUSIVE FLASHDISK SANDISK CRUZER BLADE DAN SANDISK DUAL DRIVE OTG 8GB 16GB 32GB 64GB,,47000,996
SC UPC/APC 10 PCS FTTH Konektor Fiber Optic SC / UPC Fiber Optic SC Fast Connector,,32000,342
"GATERON Mechanical Switch - BLUE,RED,BROWN,BLACK,GREEN,YELLOW & CLEAR",Tidak Ada Merek,3300,259
KEYPAD 4X4 MATRIX ARRAY 16 KEY MEMBRANE MEMBRAN SWITCH KEYPAD,Tidak Ada Merek,5700,714
"Stiker Keyboard Arab, Stiker Keyboard Arabic",,5500,546
TP-LINK  TL-WR840N Wireless Router N WR840N 300Mbps 2 antena,,155000,203
Huion H430P Graphic Drawing Tablet Design Signature OSU! Tablet Gambar Design Alternatif H420 H430,Huion,309000,250
Tinta Epson Original 664 series,Epson,79000,181
SPEEDS Label Thermal 100x150 Kertas isi 500 Lembar Sticker Receipt Printer Barcode Xpinter,Tidak Ada Merek,49999,134
bonkyo Wireless Optical Mouse Dan Minimalism - MSE6,Tidak Ada Merek,39900,4548
Mouse Wireless ROBOT M210 2.4GHz Optical 1600DPI dengan Receiver USB untuk PC Laptop Original Dpi,Robot,61900,357
Cover Lensa Kamera Webcam Laptop Universal Ultra Tipis Anti Spy Untuk Privasi,,2024,178
SSD RX7 120GB GARANSI RESMI 3 TAHUN,RX7,171000,826
Kabel Lan FTP Cat 5e CCA Outdoor Zimmlink Ecer Per Meter,Zimm Link,1945,327
OKAY 58D Printer bluetooth mini printer thermal 58MM pos kasir ppob printer termal,Okay,229000,2064
KERTAS PRINTER THERMAL 58 x 30 - KERTAS STRUK MOBILE PRINTER,Tidak Ada Merek,2500,4113
Armaggeddon Gaming Mousemat High Non-Slip Base Mouse Pad 22cm x 18cm,,16000,1295
"Tinta Epson 003 Original (Black, Cyan, Magenta, Yellow)",,78000,2222
Adapter Fiber Optik SC UPC OPTIC FO ADAPTOR SC SIMPLEX BIRU FIBER OPTIC FO,joinwit,900,2400
PRINTER BLUETOOTH KASIR IWARE C-58BT SUPPORT CASH DRAWER,Iware,235000,1030
(HOT) ECLE BSE-1602 Round Speaker Bluetooth 1200 mAh Speaker Musik Portable Holder HP 2 in 1 Bass Audio,Ecle,98800,782
Counterfeit Money Detector Joyko MD 100 Alat Pendeteksi Uang Palsu,Joyko,89330,212
